,word,meaning
528,burgeon,to send forth new growth (such as buds or branches) : sprout
529,burgeon,bloom
530,burgeon,to grow and expand rapidly : flourish
531,burnish,to make shiny or lustrous especially by rubbing
532,burnish,polish sense 3
533,burnish,to rub (a material) with a tool for compacting or smoothing or for turning an edge
534,burnish,"luster, gloss"
535,buttress,a projecting structure of masonry or wood for supporting or giving stability to a wall or building
536,buttress,something that resembles a buttress: such as
537,buttress,a projecting part of a mountain or hill
538,buttress,a horny protuberance on a horse's hoof at the heel   see hoof illustration
539,buttress,the broadened base of a tree trunk or a thickened vertical part of it
540,buttress,something that supports or strengthens
541,buttress,to give support or stability to (a wall or building) with a projecting structure of masonry or wood : to furnish or shore up with a buttress (see buttress entry 1 sense 1)
542,buttress,"support, strengthen "
543,byzantine,"of, relating to, or characteristic of the ancient city of Byzantium"
544,byzantine,"of, relating to, or having the characteristics of a style of architecture developed in the Byzantine Empire especially in the fifth and sixth centuries featuring the dome carried on pendentives over a square and incrustation with marble veneering and with colored mosaics on grounds of gold"
545,byzantine,of or relating to the churches using a traditional Greek rite and subject to Eastern (see eastern sense 2) canon law
546,byzantine,"of, relating to, or characterized by a devious and usually surreptitious manner of operation"
547,byzantine,intricately involved : labyrinthine
548,byzantine,a native or inhabitant of Byzantium
549,cacophonous,marked by cacophony : harsh-sounding
550,cajole,to persuade with flattery or gentle urging especially in the face of reluctance : coax
551,cajole,to obtain from someone by gentle persuasion
552,cajole,to deceive with soothing words or false promises
553,callous,being hardened and thickened
554,callous,having calluses
555,callous,feeling no emotion
556,callous,feeling or showing no sympathy for others : hard-hearted
557,callous,to make callous
558,callow,lacking adult sophistication : immature
559,calumny,a misrepresentation intended to harm another's reputation
560,calumny,the act of uttering false charges or misrepresentations maliciously calculated to harm another's reputation
561,candid,marked by honest sincere expression
562,candid,disposed to criticize severely : blunt
563,candid,indicating or suggesting sincere honesty and absence of deception
564,candid,"free from bias, prejudice, or malice : fair"
565,candid,relating to or being photography of subjects acting naturally or spontaneously without being posed
566,candid,white
567,canny,"clever, shrewd"
568,canny,prudent 
569,canny,"careful, steady"
570,canny,restrained
571,canny,"quiet, snug"
572,canny,in a canny manner : carefully
573,canonize,to declare (a deceased person) an officially recognized saint
574,canonize,to make canonical
575,canonize,to sanction by ecclesiastical authority
576,canonize,to attribute authoritative sanction or approval to
577,canonize,"to treat as illustrious, preeminent, or sacred"
578,capitulate,to surrender often after negotiation of terms
579,capitulate,to cease resisting : acquiesce
580,capitulate,"parley, negotiate"
581,capricious,"governed or characterized by caprice : impulsive, unpredictable"
582,captious,marked by an often ill-natured inclination to stress faults and raise objections
583,captious,"calculated to confuse, entrap, or entangle in argument"
584,caricature,exaggeration by means of often ludicrous distortion of parts or characteristics
585,caricature,a representation especially in literature or art that has the qualities of caricature
586,caricature,a distortion so gross as to seem like caricature
587,caricature,to make or draw a caricature of : represent in caricature
588,castigate,"to subject to severe punishment, reproof, or criticism"
589,cataclysmic,"flood, deluge"
590,cataclysmic,catastrophe sense 3a
591,cataclysmic,a momentous and violent event marked by overwhelming upheaval and demolition
592,cataclysmic,an event that brings great changes 
593,cathartic,"of, relating to, or producing catharsis"
594,cathartic,a medicine that causes the bowels to be purged (see purge entry 1 sense 2a) : purgative
595,caustic,capable of destroying or eating away by chemical action : corrosive
596,caustic,marked by incisive sarcasm
597,caustic,relating to or being the surface or curve of a caustic (see caustic entry 2 sense 2)
598,caustic,a caustic agent: such as
599,caustic,a substance that burns or destroys organic tissue by chemical action
600,caustic,a strong corrosive alkali (such as sodium hydroxide)
601,caustic,the envelope of rays emanating from a point and reflected or refracted by a curved surface
602,cavalier,marked by or given to offhand and often disdainful (see disdain entry 1) dismissal of important matters
603,cavalier,debonair
604,cavalier,of or relating to the party of Charles I of England in his struggles with the Puritans and Parliament
605,cavalier,aristocratic
